,path_file,slew_rate,power_average,aol_dc_db,bw3db,ugbw,gain_margin,phase_margin,overall_result
0,./specs/opamp_specs_6_XM9_Short_Gate_Source.txt,1,1,1,1,1,1,1,1
1,./specs/opamp_specs_8_XM7_Open_Source_None.txt,1,1,1,1,1,1,1,1
2,./specs/opamp_specs_7_XM10_Short_Drain_Source.txt,1,1,1,1,1,1,1,1
3,./specs/opamp_specs_9_XM8_Short_Drain_Source.txt,0,0,0,0,0,0,0,0
4,./specs/opamp_specs_8_XM7_Open_Drain_None.txt,1,0,1,1,1,1,1,0
5,./specs/opamp_specs_8_XM7_Open_Gate_None.txt,1,0,1,1,1,1,1,0
6,./specs/opamp_specs_9_XM8_Open_Gate_None.txt,1,1,1,1,1,1,1,1
7,./specs/opamp_specs_3_XM4_Short_Drain_Source.txt,0,0,0,0,0,0,0,0
8,./specs/opamp_specs_9_XM8_Short_Gate_Source.txt,1,1,1,1,1,1,1,1
9,./specs/opamp_specs_4_XM5_Open_Drain_None.txt,0,0,1,0,0,0,1,0
10,./specs/opamp_specs_6_XM9_Short_Gate_Drain.txt,0,0,0,0,0,0,0,0
11,./specs/opamp_specs_2_XM3_Open_Drain_None.txt,0,0,0,0,0,0,0,0
12,./specs/opamp_specs_3_XM4_Open_Gate_None.txt,1,0,0,0,0,1,0,0
13,./specs/opamp_specs_1_XM2_Open_Drain_None.txt,0,0,0,0,0,0,0,0
14,./specs/opamp_specs_5_XM6_Open_Source_None.txt,0,0,0,0,0,0,0,0
15,./specs/opamp_specs_3_XM4_Open_Drain_None.txt,1,0,0,0,0,0,0,0
16,./specs/opamp_specs_6_XM9_Open_Drain_None.txt,1,1,1,1,1,1,1,1
17,./specs/opamp_specs_2_XM3_Short_Gate_Drain.txt,0,0,0,0,0,0,0,0
18,./specs/opamp_specs_4_XM5_Open_Gate_None.txt,0,0,1,0,0,0,1,0
19,./specs/opamp_specs_3_XM4_Short_Gate_Source.txt,0,0,0,0,0,0,0,0
20,./specs/opamp_specs_2_XM3_Open_Gate_None.txt,0,0,0,0,0,0,0,0
21,./specs/opamp_specs_8_XM7_Short_Drain_Source.txt,1,1,1,1,1,1,1,1
22,./specs/opamp_specs_3_XM4_Short_Gate_Drain.txt,0,0,0,0,0,1,0,0
23,./specs/opamp_specs_4_XM5_Short_Gate_Source.txt,0,0,0,0,0,0,0,0
24,./specs/opamp_specs_0_XM1_Open_Source_None.txt,0,0,0,0,0,0,0,0
25,./specs/opamp_specs_7_XM10_Open_Gate_None.txt,1,0,1,1,1,1,1,0
26,./specs/opamp_specs_7_XM10_Open_Drain_None.txt,1,1,1,1,1,1,1,1
27,./specs/opamp_specs_5_XM6_Short_Drain_Source.txt,0,0,0,0,0,0,0,0
28,./specs/opamp_specs_8_XM7_Short_Gate_Drain.txt,0,0,0,0,1,0,0,0
29,./specs/opamp_specs_0_XM1_Open_Drain_None.txt,0,0,0,0,0,0,0,0
30,./specs/opamp_specs_7_XM10_Short_Gate_Source.txt,0,0,0,0,0,0,0,0
31,./specs/opamp_specs_2_XM3_Open_Source_None.txt,0,0,0,0,0,0,0,0
32,./specs/opamp_specs_2_XM3_Short_Drain_Source.txt,0,0,0,0,0,0,0,0
33,./specs/opamp_specs_5_XM6_Open_Gate_None.txt,0,0,0,0,0,0,0,0
34,./specs/opamp_specs_7_XM10_Open_Source_None.txt,1,1,1,1,1,1,1,1
35,./specs/opamp_specs_1_XM2_Short_Gate_Source.txt,0,0,0,0,0,0,0,0
36,./specs/opamp_specs_1_XM2_Open_Source_None.txt,0,0,0,0,0,0,0,0
37,./specs/opamp_specs_5_XM6_Short_Gate_Drain.txt,1,1,1,1,1,1,1,1
38,./specs/opamp_specs_6_XM9_Open_Gate_None.txt,1,0,1,1,1,1,1,0
39,./specs/opamp_specs_0_XM1_Short_Gate_Drain.txt,0,0,0,0,0,0,0,0
40,./specs/opamp_specs_4_XM5_Open_Source_None.txt,0,0,1,0,0,0,1,0
41,./specs/opamp_specs_4_XM5_Short_Gate_Drain.txt,0,0,0,0,0,0,1,0
42,./specs/opamp_specs_0_XM1_Short_Gate_Source.txt,0,0,0,0,0,0,0,0
43,./specs/opamp_specs_1_XM2_Short_Gate_Drain.txt,1,1,1,1,1,1,1,1
44,./specs/opamp_specs_5_XM6_Short_Gate_Source.txt,0,0,0,0,0,0,0,0
45,./specs/opamp_specs_9_XM8_Open_Drain_None.txt,1,1,1,1,1,1,1,1
46,./specs/opamp_specs_9_XM8_Short_Gate_Drain.txt,0,0,0,0,0,0,0,0
47,./specs/opamp_specs_3_XM4_Open_Source_None.txt,1,0,0,0,0,0,0,0
48,./specs/opamp_specs_5_XM6_Open_Drain_None.txt,1,1,0,0,0,0,0,0
49,./specs/opamp_specs_7_XM10_Short_Gate_Drain.txt,0,0,0,0,0,0,0,0
50,./specs/opamp_specs_2_XM3_Short_Gate_Source.txt,0,1,0,0,0,0,0,0
51,./specs/opamp_specs_0_XM1_Short_Drain_Source.txt,0,0,0,0,0,1,0,0
52,./specs/opamp_specs_4_XM5_Short_Drain_Source.txt,0,0,0,0,0,0,0,0
53,./specs/opamp_specs_6_XM9_Short_Drain_Source.txt,0,0,0,0,0,0,0,0
54,./specs/opamp_specs_6_XM9_Open_Source_None.txt,1,1,1,1,1,1,1,1
55,./specs/opamp_specs_1_XM2_Open_Gate_None.txt,0,0,0,0,0,0,0,0
56,./specs/opamp_specs_1_XM2_Short_Drain_Source.txt,0,0,0,0,0,0,0,0
57,./specs/opamp_specs_0_XM1_Open_Gate_None.txt,0,0,0,0,0,0,0,0
58,./specs/opamp_specs_9_XM8_Open_Source_None.txt,1,1,1,1,1,1,1,1
59,./specs/opamp_specs_8_XM7_Short_Gate_Source.txt,0,0,0,0,0,0,0,0
